alignment,stim_name,pressed_key,rt,align_condition,subject_ID
ti22,internet19.jpg,up,1.1193909645080566,straightapproach,aaa000
ti14,internet21.jpg,down,1.6566619873046875,straightapproach,aaa000
ti12,neutral13.jpg,down,0.597923994064331,straightapproach,aaa000
st9,neutral2.jpg,down,0.5902359485626221,straightapproach,aaa000
st4,neutral23.jpg,down,0.6099681854248047,straightapproach,aaa000
ti10,neutral21.jpg,down,0.5131909847259521,straightapproach,aaa000
ti7,neutral19.jpg,down,0.4918479919433594,straightapproach,aaa000
st10,neutral10.jpg,down,0.4689910411834717,straightapproach,aaa000
st6,neutral4.jpg,up,1.70243501663208,straightapproach,aaa000
ti16,internet16.jpg,down,0.7829408645629883,straightapproach,aaa000
st15,internet10.jpg,up,0.640449047088623,straightapproach,aaa000
st17,internet13.jpg,up,0.6622469425201416,straightapproach,aaa000
ti1,neutral18.jpg,down,0.6856551170349121,straightapproach,aaa000
ti24,internet5.jpg,down,1.2133967876434326,straightapproach,aaa000
ti23,internet11.jpg,down,0.7587728500366211,straightapproach,aaa000
ti18,internet2.jpg,down,0.6831269264221191,straightapproach,aaa000
ti6,neutral15.jpg,down,0.6944229602813721,straightapproach,aaa000
ti21,internet6.jpg,down,1.5439271926879883,straightapproach,aaa000
st2,neutral14.jpg,up,0.8530969619750977,straightapproach,aaa000
st3,neutral5.jpg,up,1.2825078964233398,straightapproach,aaa000
ti3,neutral20.jpg,down,0.9617600440979004,straightapproach,aaa000
st5,neutral7.jpg,up,0.6302227973937988,straightapproach,aaa000
st24,internet12.jpg,down,0.7606730461120605,straightapproach,aaa000
st8,neutral1.jpg,up,0.8899970054626465,straightapproach,aaa000
ti19,internet8.jpg,down,0.9220740795135498,straightapproach,aaa000
st1,neutral11.jpg,up,0.8255500793457031,straightapproach,aaa000
st14,internet14.jpg,up,1.0982160568237305,straightapproach,aaa000
ti8,neutral8.jpg,down,0.7680318355560303,straightapproach,aaa000
