alignment,stim_name,pressed_key,rt,align_condition,subject_ID
ti24,internet9.jpg,up,1.7033763759827707,tiltapproach,dule01
st5,neutral3.jpg,down,2.127073145005852,tiltapproach,dule01
st6,neutral14.jpg,down,2.549288271984551,tiltapproach,dule01
st19,internet17.jpg,down,0.8471664969983976,tiltapproach,dule01
ti21,internet4.jpg,up,0.8302256749884691,tiltapproach,dule01
ti11,neutral22.jpg,up,0.8769828450167552,tiltapproach,dule01
st10,neutral17.jpg,down,0.949171160988044,tiltapproach,dule01
st15,internet21.jpg,down,1.214286786998855,tiltapproach,dule01
st22,internet3.jpg,down,3.710403421020601,tiltapproach,dule01
ti3,neutral6.jpg,up,6.325873182999203,tiltapproach,dule01
ti8,neutral4.jpg,up,1.5702688739984296,tiltapproach,dule01
ti9,neutral15.jpg,up,0.6532147380057722,tiltapproach,dule01
ti1,neutral7.jpg,up,1.3738405049953144,tiltapproach,dule01
ti23,internet10.jpg,up,1.639881990995491,tiltapproach,dule01
ti10,neutral9.jpg,up,3.836739211983513,tiltapproach,dule01
ti16,internet20.jpg,up,1.7998877460195217,tiltapproach,dule01
st21,internet12.jpg,down,0.937458519008942,tiltapproach,dule01
st8,neutral19.jpg,up,4.597570944984909,tiltapproach,dule01
st24,internet24.jpg,up,0.8804821139783598,tiltapproach,dule01
st2,neutral13.jpg,up,0.5831927880062722,tiltapproach,dule01
ti19,internet2.jpg,down,1.121749482001178,tiltapproach,dule01
ti4,neutral24.jpg,down,2.3004182100121398,tiltapproach,dule01
st1,neutral1.jpg,down,1.6014570069964975,tiltapproach,dule01
ti2,neutral16.jpg,up,2.264561711024726,tiltapproach,dule01
ti14,internet23.jpg,up,2.823200735001592,tiltapproach,dule01
st7,neutral2.jpg,down,0.9496936889772769,tiltapproach,dule01
ti20,internet13.jpg,up,1.4509549319918733,tiltapproach,dule01
ti6,neutral18.jpg,up,5.269682240003021,tiltapproach,dule01
ti7,neutral11.jpg,up,0.7426213810103945,tiltapproach,dule01
st23,internet11.jpg,down,0.8476611310034059,tiltapproach,dule01
st12,neutral21.jpg,up,6.138164117000997,tiltapproach,dule01
st3,neutral8.jpg,up,1.8495057709806133,tiltapproach,dule01
st18,internet15.jpg,up,0.6713643379916903,tiltapproach,dule01
st17,internet7.jpg,up,0.7788393299852032,tiltapproach,dule01
st4,neutral23.jpg,up,0.5893302719923668,tiltapproach,dule01
ti18,internet8.jpg,up,1.4972870880155824,tiltapproach,dule01
st20,internet14.jpg,down,0.8672689520171843,tiltapproach,dule01
ti22,internet16.jpg,up,1.5702727970201522,tiltapproach,dule01
st9,neutral12.jpg,down,0.6075292479945347,tiltapproach,dule01
ti17,internet6.jpg,up,0.7603023190167733,tiltapproach,dule01
ti15,internet1.jpg,down,0.5942035590123851,tiltapproach,dule01
st14,internet18.jpg,up,0.942333626007894,tiltapproach,dule01
st16,internet22.jpg,down,2.4321204739972018,tiltapproach,dule01
ti13,internet19.jpg,up,1.6119488389813341,tiltapproach,dule01
st13,internet5.jpg,down,2.194383652007673,tiltapproach,dule01
st11,neutral20.jpg,down,4.282594457996311,tiltapproach,dule01
ti12,neutral5.jpg,up,1.148774110013619,tiltapproach,dule01
ti5,neutral10.jpg,up,2.020053685992025,tiltapproach,dule01
ti5,neutral10.jpg,down,3.9809739149932284,straightapproach,dule01
ti1,neutral7.jpg,down,7.865072651009541,straightapproach,dule01
ti16,internet20.jpg,down,1.0599903029797133,straightapproach,dule01
st3,neutral8.jpg,up,2.409729837992927,straightapproach,dule01
st21,internet12.jpg,up,6.56848313100636,straightapproach,dule01
ti13,internet19.jpg,down,5.209103380999295,straightapproach,dule01
ti9,neutral15.jpg,down,0.6472941750253085,straightapproach,dule01
st22,internet3.jpg,up,0.7470949830021709,straightapproach,dule01
st4,neutral23.jpg,up,1.321578164002858,straightapproach,dule01
ti12,neutral5.jpg,down,0.7382522099942435,straightapproach,dule01
ti4,neutral24.jpg,down,0.8001893360051326,straightapproach,dule01
st15,internet21.jpg,up,1.1166484350105748,straightapproach,dule01
ti17,internet6.jpg,up,3.203812913998263,straightapproach,dule01
ti14,internet23.jpg,down,7.804044005984906,straightapproach,dule01
st6,neutral14.jpg,up,0.6983312999946065,straightapproach,dule01
st24,internet24.jpg,down,1.2582106849877164,straightapproach,dule01
st19,internet17.jpg,up,0.6648816369997803,straightapproach,dule01
st11,neutral20.jpg,up,0.7937260659819003,straightapproach,dule01
st12,neutral21.jpg,up,1.2674910509958863,straightapproach,dule01
ti10,neutral9.jpg,down,1.5548225519887637,straightapproach,dule01
st13,internet5.jpg,up,3.0393974460021127,straightapproach,dule01
st8,neutral19.jpg,up,1.1629189810191747,straightapproach,dule01
ti7,neutral11.jpg,down,1.509854481992079,straightapproach,dule01
ti22,internet16.jpg,down,1.1581602850055788,straightapproach,dule01
ti11,neutral22.jpg,up,1.8560446859919466,straightapproach,dule01
ti3,neutral6.jpg,down,0.807837960019242,straightapproach,dule01
ti15,internet1.jpg,down,0.9587196790089365,straightapproach,dule01
st5,neutral3.jpg,up,3.057991306995973,straightapproach,dule01
ti8,neutral4.jpg,down,0.6390178590081632,straightapproach,dule01
st20,internet14.jpg,up,1.281881621980574,straightapproach,dule01
st23,internet11.jpg,up,3.2081509300041944,straightapproach,dule01
ti21,internet4.jpg,down,1.3016734250122681,straightapproach,dule01
ti24,internet9.jpg,down,1.473906861996511,straightapproach,dule01
