alignment,stim_name,pressed_key,rt,align_condition,subject_ID
st14,internet18.jpg,up,0.46855807304382324,straightapproach,masc01
st5,neutral2.jpg,up,0.4079749584197998,straightapproach,masc01
ti11,neutral11.jpg,down,0.4763369560241699,straightapproach,masc01
st13,internet1.jpg,up,0.48726487159729004,straightapproach,masc01
ti19,internet2.jpg,down,0.39478087425231934,straightapproach,masc01
st21,internet4.jpg,up,0.45758485794067383,straightapproach,masc01
ti24,internet10.jpg,up,0.5844650268554688,straightapproach,masc01
ti4,neutral19.jpg,down,0.6058318614959717,straightapproach,masc01
st7,neutral13.jpg,up,0.5450470447540283,straightapproach,masc01
st6,neutral5.jpg,up,0.5163979530334473,straightapproach,masc01
ti12,neutral1.jpg,down,0.43947291374206543,straightapproach,masc01
st18,internet3.jpg,up,0.5033280849456787,straightapproach,masc01
ti7,neutral8.jpg,down,0.5740969181060791,straightapproach,masc01
st16,internet17.jpg,up,0.4885070323944092,straightapproach,masc01
ti5,neutral18.jpg,down,0.44901108741760254,straightapproach,masc01
st10,neutral16.jpg,up,0.6375110149383545,straightapproach,masc01
ti18,internet11.jpg,down,0.6647751331329346,straightapproach,masc01
ti17,internet5.jpg,down,0.8970789909362793,straightapproach,masc01
st4,neutral24.jpg,up,0.7078490257263184,straightapproach,masc01
st12,neutral6.jpg,up,0.46923184394836426,straightapproach,masc01
st2,neutral12.jpg,up,0.5121140480041504,straightapproach,masc01
st15,internet12.jpg,up,0.6621689796447754,straightapproach,masc01
ti21,internet16.jpg,down,0.47137999534606934,straightapproach,masc01
st23,internet21.jpg,up,0.49501490592956543,straightapproach,masc01
ti6,neutral17.jpg,up,0.46234607696533203,straightapproach,masc01
st24,internet15.jpg,up,0.5400748252868652,straightapproach,masc01
ti2,neutral3.jpg,down,0.5224461555480957,straightapproach,masc01
ti20,internet23.jpg,down,0.6538269519805908,straightapproach,masc01
ti14,internet7.jpg,down,0.5717670917510986,straightapproach,masc01
ti22,internet8.jpg,up,0.5441911220550537,straightapproach,masc01
ti3,neutral20.jpg,down,0.6256668567657471,straightapproach,masc01
ti8,neutral10.jpg,down,0.4374568462371826,straightapproach,masc01
ti15,internet20.jpg,down,0.4502899646759033,straightapproach,masc01
st9,neutral23.jpg,up,0.421144962310791,straightapproach,masc01
st22,internet6.jpg,up,0.519956111907959,straightapproach,masc01
ti1,neutral21.jpg,down,0.5447211265563965,straightapproach,masc01
st17,internet14.jpg,down,0.8250360488891602,straightapproach,masc01
st19,internet9.jpg,up,0.5577359199523926,straightapproach,masc01
ti13,internet22.jpg,down,0.572638988494873,straightapproach,masc01
ti9,neutral4.jpg,down,0.5475468635559082,straightapproach,masc01
st1,neutral15.jpg,up,0.5634720325469971,straightapproach,masc01
